crop,state_name,district_name,crop_year,season,area_ha,nitrogen,phosphorous,potassium,temperature_c,humidity,ph,rainfall_mm,moisture,price_per_ton,target_yield_t_ha 
Rice,Jammu and Kashmir ,BANDIPORA,2007,Kharif,9588.0,89.42,52.06,43.74,30.36,88.13,4.5,219.54,29.82,23791.55,3.556
Blackgram,Jammu and Kashmir ,BANDIPORA,2007,Kharif,433.0,52.53,47.44,25.08,32.14,66.84,6.59,96.02,24.48,76474.89,0.926
Maize,Jammu and Kashmir ,BANDIPORA,2014,Kharif,4927.0,45.21,50.38,37.15,31.11,79.01,5.95,125.27,22.04,20145.33,4.606
Rice,Jammu and Kashmir ,BANDIPORA,2014,Kharif,9203.0,70.09,34.42,41.95,26.11,81.23,6.42,204.58,34.26,25320.3,4.269
Maize,Jammu and Kashmir ,BARAMULLA,1997,Kharif,25193.0,78.03,62.9,31.73,22.11,71.42,6.45,163.09,24.37,20145.35,3.365
Rice,Jammu and Kashmir ,BARAMULLA,1997,Kharif,34304.0,56.25,29.38,47.47,22.72,85.06,8.2,246.4,29.4,24470.18,3.996
Maize,Jammu and Kashmir ,BARAMULLA,1999,Kharif,30548.0,86.05,67.07,24.33,29.58,80.03,6.44,156.01,22.08,20145.37,3.818
Rice,Jammu and Kashmir ,BARAMULLA,1999,Kharif,27678.0,26.34,48.99,35.94,23.18,83.14,8.31,300.0,41.92,23327.27,4.299
Maize,Jammu and Kashmir ,BARAMULLA,2000,Kharif,32436.0,67.35,60.45,26.87,26.55,65.07,6.94,163.22,19.77,20145.39,4.051
Rice,Jammu and Kashmir ,BARAMULLA,2000,Kharif,27176.0,76.08,52.94,37.72,30.75,82.47,6.09,300.0,35.37,24826.32,3.557
Maize,Jammu and Kashmir ,BARAMULLA,2001,Kharif,29533.0,62.66,49.36,20.02,24.05,74.77,6.3,139.06,20.49,20145.41,4.477
Rice,Jammu and Kashmir ,BARAMULLA,2001,Kharif,29930.0,76.53,62.46,42.91,28.75,83.04,4.88,236.99,38.33,23870.3,2.243
Maize,Jammu and Kashmir ,BARAMULLA,2002,Kharif,28126.0,45.72,81.52,18.71,26.88,75.03,7.26,184.08,31.29,20145.43,4.973
Rice,Jammu and Kashmir ,BARAMULLA,2002,Kharif,32014.0,124.69,62.52,35.01,25.91,84.5,5.18,300.0,36.46,22145.44,4.316
Maize,Jammu and Kashmir ,BARAMULLA,2003,Kharif,28143.0,53.89,66.07,24.03,20.3,64.01,6.25,94.61,25.97,20145.45,4.88
Rice,Jammu and Kashmir ,BARAMULLA,2003,Kharif,31628.0,97.14,54.38,39.86,28.13,82.57,8.5,284.93,32.12,23635.79,3.867
Maize,Jammu and Kashmir ,BARAMULLA,2004,Kharif,28896.0,79.23,56.99,23.74,26.43,75.1,7.96,167.62,28.74,20145.47,4.82
Rice,Jammu and Kashmir ,BARAMULLA,2004,Kharif,31049.0,55.64,32.74,40.14,34.67,83.11,4.5,300.0,36.25,23155.89,2.194
Maize,Jammu and Kashmir ,BARAMULLA,2005,Kharif,28981.0,91.07,57.84,26.16,23.79,89.73,6.55,140.28,32.09,20145.49,3.121
Rice,Jammu and Kashmir ,BARAMULLA,2005,Kharif,29918.0,79.13,70.62,35.6,27.74,82.55,7.9,300.0,36.23,22712.73,3.143
Maize,Jammu and Kashmir ,BARAMULLA,2007,Kharif,22199.0,96.91,44.88,16.65,32.03,61.25,6.08,132.81,22.69,20145.51,3.854
Rice,Jammu and Kashmir ,BARAMULLA,2007,Kharif,21205.0,68.46,61.57,41.53,24.79,82.26,8.07,300.0,24.82,22145.52,4.445
Blackgram,Jammu and Kashmir ,BARAMULLA,2007,Kharif,59.0,43.34,61.57,18.38,26.23,75.6,6.72,135.1,26.33,80123.9,1.311
Maize,Jammu and Kashmir ,BARAMULLA,2014,Kharif,21993.0,73.2,44.42,26.49,19.16,60.23,6.84,140.33,27.58,20145.54,6.223
Rice,Jammu and Kashmir ,BARAMULLA,2014,Kharif,21265.0,64.28,44.56,34.94,25.41,85.83,6.72,248.06,34.3,23443.8,4.989
Maize,Jammu and Kashmir ,DODA,1997,Kharif,48194.0,83.99,62.36,27.59,32.78,77.29,6.04,112.12,28.9,20145.56,4.528
Rice,Jammu and Kashmir ,DODA,1997,Kharif,4148.0,75.08,45.66,42.49,23.03,94.5,6.56,209.38,28.0,23219.19,4.471
Maize,Jammu and Kashmir ,DODA,1999,Kharif,49835.0,45.78,43.19,31.81,28.51,76.93,7.85,140.85,34.83,20145.58,4.798
Rice,Jammu and Kashmir ,DODA,1999,Kharif,4066.0,66.1,47.83,39.23,25.0,92.23,5.73,211.76,31.41,22725.34,4.909
Maize,Jammu and Kashmir ,DODA,2000,Kharif,51730.0,46.18,45.45,20.01,20.4,71.96,7.84,105.35,20.71,20145.6,3.013
Rice,Jammu and Kashmir ,DODA,2000,Kharif,3503.0,38.18,59.08,30.38,21.63,90.99,5.19,256.72,34.43,25167.99,3.213
Maize,Jammu and Kashmir ,DODA,2001,Kharif,50959.0,63.96,59.55,27.16,22.84,78.97,6.29,131.98,28.56,20145.62,4.072
Rice,Jammu and Kashmir ,DODA,2001,Kharif,3879.0,41.95,67.94,36.21,21.77,92.15,7.5,300.0,38.45,23995.77,3.598
Blackgram,Jammu and Kashmir ,DODA,2001,Kharif,1452.0,44.41,85.32,16.47,32.1,71.03,7.46,103.96,30.73,77577.04,0.705
Maize,Jammu and Kashmir ,DODA,2002,Kharif,51566.0,73.46,93.04,15.9,23.98,70.27,7.17,107.99,28.26,20145.65,3.472
Rice,Jammu and Kashmir ,DODA,2002,Kharif,4155.0,67.06,62.51,31.3,29.02,89.56,6.12,201.75,39.58,22145.66,3.472
Blackgram,Jammu and Kashmir ,DODA,2002,Kharif,1602.0,29.27,93.22,19.94,28.54,77.07,7.01,101.21,24.79,72606.75,0.769
Maize,Jammu and Kashmir ,DODA,2003,Kharif,52051.0,87.32,83.46,22.39,24.15,80.52,6.95,111.79,20.69,20145.68,4.996
Rice,Jammu and Kashmir ,DODA,2003,Kharif,4050.0,59.12,48.14,38.86,22.15,90.68,6.56,214.97,27.79,25218.28,5.294
Blackgram,Jammu and Kashmir ,DODA,2003,Kharif,1860.0,31.47,71.93,30.03,32.09,79.07,7.16,93.08,33.16,70474.34,1.054
Maize,Jammu and Kashmir ,DODA,2004,Kharif,51071.0,89.64,43.3,23.28,25.22,83.85,5.86,90.8,26.94,20145.71,4.494
Rice,Jammu and Kashmir ,DODA,2004,Kharif,4203.0,69.35,58.38,33.77,26.09,88.05,6.95,198.09,30.19,22731.58,3.863
Blackgram,Jammu and Kashmir ,DODA,2004,Kharif,1545.0,48.21,73.15,22.98,28.15,80.37,7.62,93.2,25.52,68689.66,1.108
Maize,Jammu and Kashmir ,DODA,2005,Kharif,50954.0,70.71,49.58,21.6,19.25,74.1,5.35,131.13,26.08,20145.74,2.894
Rice,Jammu and Kashmir ,DODA,2005,Kharif,3781.0,62.2,45.25,26.13,28.72,91.24,8.5,224.92,31.43,25222.3,3.864
Blackgram,Jammu and Kashmir ,DODA,2005,Kharif,1667.0,60.24,73.54,18.26,36.05,81.31,8.1,105.64,25.91,76905.68,1.093
Maize,Jammu and Kashmir ,DODA,2007,Kharif,25281.0,55.37,53.56,29.03,30.82,71.73,6.09,125.07,21.96,20145.77,2.892
Rice,Jammu and Kashmir ,DODA,2007,Kharif,1868.0,91.91,50.97,33.86,28.9,88.89,5.3,203.71,30.67,23770.25,5.04
Blackgram,Jammu and Kashmir ,DODA,2007,Kharif,851.0,14.63,64.93,26.37,32.46,88.25,7.59,93.64,25.82,73518.72,0.813
Blackgram,Jammu and Kashmir ,DODA,2008,Rabi,11.0,46.39,66.12,26.16,31.59,73.24,7.41,50.4,17.58,78012.57,0.798
Maize,Jammu and Kashmir ,DODA,2014,Kharif,25808.0,69.66,67.92,22.19,22.46,87.0,6.84,128.95,38.64,20145.81,4.576
Rice,Jammu and Kashmir ,DODA,2014,Kharif,1911.0,84.23,28.37,32.77,27.92,90.64,5.59,290.38,37.2,23638.87,3.775
Blackgram,Jammu and Kashmir ,DODA,2014,Kharif,867.0,65.86,83.38,13.55,34.41,85.82,5.97,98.0,25.77,72084.53,0.803
Maize,Jammu and Kashmir ,GANDERBAL,2007,Kharif,3397.0,40.3,59.51,21.31,35.03,98.0,5.76,116.51,32.57,20145.84,4.632
Rice,Jammu and Kashmir ,GANDERBAL,2007,Kharif,8363.0,51.24,33.93,41.43,27.17,91.49,4.5,168.17,25.37,24137.09,4.257
Maize,Jammu and Kashmir ,GANDERBAL,2014,Kharif,3375.0,46.22,52.48,21.32,31.66,80.86,5.2,118.24,23.62,20145.86,2.861
Rice,Jammu and Kashmir ,GANDERBAL,2014,Kharif,7684.0,62.17,38.98,38.8,30.05,88.81,5.6,183.32,28.08,24560.24,3.712
Maize,Jammu and Kashmir ,JAMMU,1997,Kharif,26766.0,95.32,74.2,38.15,23.83,73.25,5.12,131.85,26.01,20145.88,2.643
Rice,Jammu and Kashmir ,JAMMU,1997,Kharif,57940.0,58.62,53.06,50.43,32.75,80.8,7.1,276.72,44.3,23731.87,2.533
Maize,Jammu and Kashmir ,JAMMU,1999,Kharif,20884.0,70.45,45.1,32.04,23.65,63.95,5.8,131.57,27.03,20145.9,3.925
Rice,Jammu and Kashmir ,JAMMU,1999,Kharif,50332.0,69.05,55.69,50.01,24.09,78.11,7.23,221.79,25.62,23937.22,2.449
Maize,Jammu and Kashmir ,JAMMU,2000,Kharif,20994.0,93.06,57.37,34.73,22.45,63.4,5.91,124.91,23.91,20145.92,4.939
Rice,Jammu and Kashmir ,JAMMU,2000,Kharif,50161.0,82.23,45.05,52.16,29.72,81.98,7.37,133.07,24.45,22145.93,3.905
Maize,Jammu and Kashmir ,JAMMU,2001,Kharif,20950.0,134.12,67.14,38.29,21.7,68.73,6.28,179.33,31.08,20145.94,2.965
Rice,Jammu and Kashmir ,JAMMU,2001,Kharif,50176.0,41.66,51.57,46.81,26.87,81.55,6.81,198.79,34.43,25139.42,2.726
Blackgram,Jammu and Kashmir ,JAMMU,2001,Kharif,4654.0,37.2,60.41,38.47,33.66,66.27,7.25,122.56,18.82,70884.45,0.6
Maize,Jammu and Kashmir ,JAMMU,2002,Kharif,20870.0,83.19,68.05,37.14,20.55,50.08,6.32,146.18,22.54,20145.97,4.082
Rice,Jammu and Kashmir ,JAMMU,2002,Kharif,46885.0,64.93,63.0,45.7,24.7,79.95,5.11,247.63,32.63,23959.42,5.038
Blackgram,Jammu and Kashmir ,JAMMU,2002,Kharif,5330.0,105.52,79.72,36.11,32.35,72.98,7.93,123.92,25.31,78491.38,1.388
Maize,Jammu and Kashmir ,JAMMU,2003,Kharif,16627.0,94.44,59.57,30.9,22.98,71.15,6.07,158.07,30.49,20146.0,4.826
Rice,Jammu and Kashmir ,JAMMU,2003,Kharif,58426.0,78.66,51.32,53.03,28.64,80.92,5.93,300.0,37.62,22146.01,4.182
Blackgram,Jammu and Kashmir ,JAMMU,2003,Kharif,6010.0,20.98,84.34,39.99,32.73,70.32,7.36,122.58,20.89,71407.52,1.124
Maize,Jammu and Kashmir ,JAMMU,2004,Kharif,17251.0,63.27,40.23,31.2,25.81,90.2,5.9,143.85,30.86,20146.03,2.897
Rice,Jammu and Kashmir ,JAMMU,2004,Kharif,53706.0,61.17,60.86,50.51,24.28,81.93,5.99,244.33,37.72,23572.57,3.856
Blackgram,Jammu and Kashmir ,JAMMU,2004,Kharif,5730.0,33.44,64.69,35.54,29.71,65.75,7.11,130.6,24.88,70919.67,1.093
Maize,Jammu and Kashmir ,JAMMU,2005,Kharif,19705.0,81.98,71.42,32.09,25.93,55.68,5.58,166.31,24.52,20146.06,3.886
Rice,Jammu and Kashmir ,JAMMU,2005,Kharif,57336.0,50.78,48.8,46.07,18.81,79.12,4.5,260.6,30.1,23689.63,4.211
Blackgram,Jammu and Kashmir ,JAMMU,2005,Kharif,6462.0,44.88,77.83,32.21,28.71,72.34,6.97,119.46,24.85,75466.21,0.894
Maize,Jammu and Kashmir ,JAMMU,2007,Kharif,11275.0,67.25,46.9,39.73,24.56,44.87,7.01,157.84,21.4,20146.09,5.48
Rice,Jammu and Kashmir ,JAMMU,2007,Kharif,50716.0,44.63,66.26,53.88,24.18,79.47,6.66,300.0,41.08,24293.73,3.667
Blackgram,Jammu and Kashmir ,JAMMU,2007,Kharif,3819.0,51.89,72.81,34.04,30.13,69.09,6.22,124.09,22.44,78546.14,0.856
Maize,Jammu and Kashmir ,JAMMU,2014,Kharif,10961.0,99.32,71.42,36.12,31.5,83.2,6.28,104.14,20.24,20146.12,5.334
Rice,Jammu and Kashmir ,JAMMU,2014,Kharif,65470.0,117.63,56.0,51.89,29.92,77.2,6.17,263.57,34.94,22283.4,4.449
Blackgram,Jammu and Kashmir ,JAMMU,2014,Kharif,2491.0,57.22,71.74,36.91,33.29,65.56,6.18,119.71,24.99,68958.87,0.784
Maize,Jammu and Kashmir ,KARGIL,2007,Kharif,4.0,57.3,30.87,23.48,17.88,70.87,6.27,135.24,31.41,20146.15,2.651
Maize,Jammu and Kashmir ,KATHUA,1997,Kharif,15893.0,57.58,86.46,20.38,23.55,83.34,6.29,116.94,33.55,20146.16,4.04
Rice,Jammu and Kashmir ,KATHUA,1997,Kharif,34356.0,56.86,57.12,47.54,23.49,85.14,7.76,163.17,33.06,22562.97,3.884
Maize,Jammu and Kashmir ,KATHUA,1999,Kharif,15122.0,54.42,58.26,29.77,18.94,67.37,6.76,110.96,23.04,20146.18,4.998
Rice,Jammu and Kashmir ,KATHUA,1999,Kharif,35644.0,73.97,41.17,39.91,28.07,86.1,4.5,261.08,33.31,24488.01,4.845
Maize,Jammu and Kashmir ,KATHUA,2000,Kharif,16233.0,121.78,27.26,23.49,21.25,79.54,6.53,140.94,31.31,20146.2,4.03
Rice,Jammu and Kashmir ,KATHUA,2000,Kharif,34303.0,52.84,50.45,39.52,18.5,87.91,5.35,252.46,36.26,22146.21,2.987
Maize,Jammu and Kashmir ,KATHUA,2001,Kharif,15660.0,53.5,62.68,28.25,20.05,75.06,6.73,93.5,24.81,20146.22,4.458
Rice,Jammu and Kashmir ,KATHUA,2001,Kharif,36591.0,82.5,59.67,41.67,20.33,82.2,6.64,149.11,29.91,22146.23,3.012
Blackgram,Jammu and Kashmir ,KATHUA,2001,Kharif,3821.0,10.0,64.09,23.7,34.32,77.56,6.99,104.81,28.89,72384.76,0.6
Maize,Jammu and Kashmir ,KATHUA,2002,Kharif,19223.0,55.95,54.48,25.86,19.84,71.69,5.72,99.26,29.51,20146.25,4.183
Rice,Jammu and Kashmir ,KATHUA,2002,Kharif,29420.0,77.29,53.75,36.32,19.41,84.02,5.91,216.2,28.0,24145.52,3.844
Blackgram,Jammu and Kashmir ,KATHUA,2002,Kharif,3878.0,56.89,62.83,27.11,29.39,67.81,6.99,86.12,29.62,76502.56,0.679
Maize,Jammu and Kashmir ,KATHUA,2003,Kharif,19474.0,49.9,55.12,27.47,26.49,71.15,6.01,136.98,27.03,20146.28,3.238
Rice,Jammu and Kashmir ,KATHUA,2003,Kharif,30628.0,72.62,55.43,35.59,23.22,85.6,6.62,133.35,33.39,25891.32,3.887
Blackgram,Jammu and Kashmir ,KATHUA,2003,Kharif,3801.0,28.65,54.9,21.89,20.8,69.48,8.24,108.03,21.83,69087.44,0.823
Maize,Jammu and Kashmir ,KATHUA,2004,Kharif,19539.0,71.31,55.98,27.34,27.12,77.53,6.34,98.81,20.47,20146.31,4.642
Rice,Jammu and Kashmir ,KATHUA,2004,Kharif,30611.0,83.52,62.61,35.15,21.62,86.54,5.46,300.0,42.05,22786.16,2.521
Blackgram,Jammu and Kashmir ,KATHUA,2004,Kharif,3886.0,52.1,71.34,19.11,28.21,69.54,6.41,98.53,18.92,76565.01,1.143
Maize,Jammu and Kashmir ,KATHUA,2005,Kharif,19578.0,55.0,44.02,23.36,22.89,69.25,6.09,106.6,27.72,20146.34,4.884
Rice,Jammu and Kashmir ,KATHUA,2005,Kharif,30747.0,81.05,56.87,35.95,23.99,86.76,5.52,247.12,35.06,23486.64,3.906
Blackgram,Jammu and Kashmir ,KATHUA,2005,Kharif,3921.0,16.66,61.62,26.29,34.87,70.08,6.58,103.64,26.58,78131.95,1.278
Maize,Jammu and Kashmir ,KATHUA,2007,Kharif,21305.0,79.91,63.9,25.84,22.28,61.69,5.84,122.63,20.54,20146.37,3.946
Rice,Jammu and Kashmir ,KATHUA,2007,Kharif,27573.0,95.67,32.66,35.24,25.5,87.58,7.36,293.16,36.48,23093.27,2.378
Blackgram,Jammu and Kashmir ,KATHUA,2007,Kharif,4171.0,36.21,87.39,16.13,29.11,72.7,7.76,106.02,25.0,81015.06,0.773
Maize,Jammu and Kashmir ,KATHUA,2014,Kharif,18852.0,36.21,47.87,24.07,31.89,66.41,6.46,117.12,18.35,20146.4,4.29
Rice,Jammu and Kashmir ,KATHUA,2014,Kharif,33206.0,65.64,59.64,42.2,25.75,87.15,4.5,113.13,21.54,23368.85,2.653
Blackgram,Jammu and Kashmir ,KATHUA,2014,Kharif,3681.0,24.28,65.24,28.43,28.48,70.59,6.64,99.33,35.04,78668.22,0.63
Maize,Jammu and Kashmir ,KISHTWAR,2007,Kharif,11962.0,95.58,54.55,35.54,14.49,66.69,5.42,133.19,22.6,20146.43,5.512
Rice,Jammu and Kashmir ,KISHTWAR,2007,Kharif,943.0,50.09,51.75,50.41,20.59,90.02,7.4,195.88,28.64,23245.18,3.248
Blackgram,Jammu and Kashmir ,KISHTWAR,2007,Kharif,804.0,59.1,48.33,32.67,29.22,67.63,7.46,84.0,27.65,73138.51,1.316
Maize,Jammu and Kashmir ,KISHTWAR,2014,Kharif,12582.0,87.17,59.79,23.78,29.55,87.53,5.93,113.61,21.48,20146.46,4.283
Rice,Jammu and Kashmir ,KISHTWAR,2014,Kharif,1196.0,80.83,42.04,42.04,29.21,80.4,7.33,234.92,33.41,25592.99,2.418
Blackgram,Jammu and Kashmir ,KISHTWAR,2014,Kharif,675.0,43.07,55.9,31.15,37.19,77.21,8.16,90.8,30.81,71296.13,1.017
Maize,Jammu and Kashmir ,KULGAM,2007,Kharif,4928.0,43.67,64.65,31.0,28.71,82.39,5.92,89.17,24.01,20146.49,4.235
Rice,Jammu and Kashmir ,KULGAM,2007,Kharif,17961.0,83.73,41.13,48.04,27.48,88.77,5.98,300.0,37.09,22641.84,4.32
Maize,Jammu and Kashmir ,KULGAM,2014,Kharif,3247.0,57.62,37.9,34.73,23.84,88.23,5.82,159.96,26.61,20146.51,4.609
Rice,Jammu and Kashmir ,KULGAM,2014,Kharif,18344.0,92.64,41.14,47.72,28.27,86.68,4.68,243.32,32.87,23232.8,2.644
Blackgram,Jammu and Kashmir ,KULGAM,2014,Kharif,111.0,63.48,66.86,28.55,24.02,73.59,7.18,124.17,25.86,75529.89,1.061
Maize,Jammu and Kashmir ,KUPWARA,1997,Kharif,21774.0,69.92,53.5,32.55,25.91,72.09,5.26,132.48,29.12,20146.54,5.201
Rice,Jammu and Kashmir ,KUPWARA,1997,Kharif,17337.0,81.78,61.2,43.59,27.83,85.68,7.09,209.87,27.38,24384.84,4.274
Maize,Jammu and Kashmir ,KUPWARA,1999,Kharif,23651.0,76.23,46.88,24.25,24.62,84.35,6.11,193.64,33.66,20146.56,5.013
Rice,Jammu and Kashmir ,KUPWARA,1999,Kharif,9918.0,92.54,37.82,43.67,18.72,78.05,6.41,260.98,32.03,23600.93,3.415
Maize,Jammu and Kashmir ,KUPWARA,2000,Kharif,24096.0,93.75,40.07,27.27,19.65,67.89,5.53,176.95,28.15,20146.58,4.396
Rice,Jammu and Kashmir ,KUPWARA,2000,Kharif,11255.0,93.89,50.34,49.21,25.69,82.95,4.5,232.46,25.58,25408.79,4.133
Maize,Jammu and Kashmir ,KUPWARA,2001,Kharif,23788.0,92.65,43.88,35.58,21.15,74.66,5.86,172.35,27.99,20146.6,3.763
Rice,Jammu and Kashmir ,KUPWARA,2001,Kharif,11784.0,56.68,30.71,47.9,18.89,79.56,5.71,282.72,41.22,24991.23,2.669
Maize,Jammu and Kashmir ,KUPWARA,2002,Kharif,23788.0,50.62,54.16,32.87,28.29,61.78,5.24,152.48,21.49,20146.62,2.973
Rice,Jammu and Kashmir ,KUPWARA,2002,Kharif,11784.0,113.03,43.07,37.98,28.08,79.38,7.45,216.37,24.58,22790.07,4.926
Maize,Jammu and Kashmir ,KUPWARA,2003,Kharif,23741.0,44.76,57.07,28.39,27.4,52.35,4.63,105.18,25.54,20146.64,6.8
Rice,Jammu and Kashmir ,KUPWARA,2003,Kharif,11806.0,59.78,43.23,35.8,25.71,82.89,6.59,275.48,41.4,22292.04,5.393
Maize,Jammu and Kashmir ,KUPWARA,2004,Kharif,23533.0,65.51,45.23,24.77,24.66,76.65,6.65,170.74,28.21,20146.66,4.436
Rice,Jammu and Kashmir ,KUPWARA,2004,Kharif,12013.0,66.36,51.68,44.19,25.98,79.06,5.71,222.7,27.59,23610.11,3.904
Maize,Jammu and Kashmir ,KUPWARA,2005,Kharif,25288.0,74.14,49.64,29.66,19.65,78.07,4.5,129.43,17.65,20146.68,4.796
Rice,Jammu and Kashmir ,KUPWARA,2005,Kharif,13867.0,130.52,60.34,47.12,26.78,80.77,6.54,284.33,39.53,23350.64,3.598
Maize,Jammu and Kashmir ,KUPWARA,2007,Kharif,24730.0,78.17,50.56,29.48,24.4,68.72,5.77,151.08,24.33,20146.7,2.633
Rice,Jammu and Kashmir ,KUPWARA,2007,Kharif,15241.0,95.34,43.53,53.08,19.68,85.14,7.71,222.4,34.11,23959.38,4.425
Maize,Jammu and Kashmir ,KUPWARA,2014,Kharif,18088.0,100.43,47.84,23.85,25.55,67.86,6.18,162.29,33.22,20146.72,3.668
Rice,Jammu and Kashmir ,KUPWARA,2014,Kharif,17680.0,61.22,48.91,46.41,21.5,80.64,5.51,255.47,30.86,24299.1,2.888
Maize,Jammu and Kashmir ,POONCH,1997,Kharif,23674.0,40.74,48.03,31.96,24.57,75.37,6.84,144.86,21.59,20146.74,2.793
Rice,Jammu and Kashmir ,POONCH,1997,Kharif,3598.0,73.07,53.4,51.36,26.42,83.87,7.05,270.96,29.89,24023.82,3.962
Maize,Jammu and Kashmir ,POONCH,1999,Kharif,23781.0,63.35,67.94,31.01,29.02,66.03,7.01,147.88,28.36,20146.76,4.812
Rice,Jammu and Kashmir ,POONCH,1999,Kharif,3610.0,95.2,57.12,50.24,26.68,82.73,7.05,247.76,34.26,22146.77,4.998
Maize,Jammu and Kashmir ,POONCH,2000,Kharif,23681.0,65.9,61.28,34.16,17.04,79.96,6.22,117.61,33.03,20146.78,3.006
Rice,Jammu and Kashmir ,POONCH,2000,Kharif,3598.0,48.74,28.95,52.72,18.98,81.15,6.54,155.62,25.63,22855.25,3.596
Maize,Jammu and Kashmir ,POONCH,2001,Kharif,23874.0,75.29,34.44,36.19,20.97,65.79,7.42,96.28,23.11,20146.8,4.589
Rice,Jammu and Kashmir ,POONCH,2001,Kharif,3462.0,70.82,34.5,47.26,22.23,83.37,5.34,295.54,41.82,23852.89,3.933
Blackgram,Jammu and Kashmir ,POONCH,2001,Kharif,15.0,10.0,57.63,27.34,28.98,75.02,6.07,105.25,25.15,77892.96,1.219
Maize,Jammu and Kashmir ,POONCH,2002,Kharif,23909.0,80.1,58.48,29.92,31.3,65.69,7.24,107.41,23.38,20146.83,3.362
Rice,Jammu and Kashmir ,POONCH,2002,Kharif,3440.0,61.89,67.98,43.19,27.79,83.05,8.23,211.56,36.07,24232.62,4.405
Blackgram,Jammu and Kashmir ,POONCH,2002,Kharif,15.0,36.71,67.25,40.55,27.89,67.69,7.79,102.53,24.75,73287.02,0.855
Maize,Jammu and Kashmir ,POONCH,2003,Kharif,24020.0,82.21,63.89,23.34,23.71,69.22,6.34,156.4,27.34,20146.86,5.361
Rice,Jammu and Kashmir ,POONCH,2003,Kharif,3213.0,59.18,45.04,39.72,17.25,79.84,7.38,206.1,36.65,22786.54,3.469
Blackgram,Jammu and Kashmir ,POONCH,2003,Kharif,34.0,72.2,62.97,28.49,31.03,67.79,7.49,102.34,22.39,75475.26,1.465
Maize,Jammu and Kashmir ,POONCH,2004,Kharif,23621.0,87.68,29.81,37.16,27.19,76.41,7.04,107.37,22.4,20146.89,4.24
Rice,Jammu and Kashmir ,POONCH,2004,Kharif,3562.0,88.6,59.07,40.03,30.99,82.77,4.5,248.96,31.12,23171.08,4.399
Blackgram,Jammu and Kashmir ,POONCH,2004,Kharif,25.0,40.72,63.04,26.4,27.3,66.8,7.89,105.49,33.46,73435.69,0.839
Maize,Jammu and Kashmir ,POONCH,2005,Kharif,23728.0,66.29,42.49,23.17,31.41,67.26,6.79,103.17,26.2,20146.92,4.766
Rice,Jammu and Kashmir ,POONCH,2005,Kharif,3584.0,63.57,60.06,47.29,23.77,83.96,6.16,255.82,30.4,23971.32,3.131
Blackgram,Jammu and Kashmir ,POONCH,2005,Kharif,27.0,56.96,53.26,30.73,27.34,71.45,6.81,92.67,30.81,76315.31,1.163
Maize,Jammu and Kashmir ,POONCH,2007,Kharif,23712.0,65.12,61.47,30.66,24.53,61.02,6.73,131.91,23.75,20146.95,4.965
Rice,Jammu and Kashmir ,POONCH,2007,Kharif,3669.0,72.76,41.27,45.16,23.37,82.01,6.89,247.91,30.47,23667.46,3.178
Blackgram,Jammu and Kashmir ,POONCH,2007,Kharif,10.0,56.66,66.28,25.22,30.92,68.26,7.43,98.1,23.62,78418.38,1.278
Maize,Jammu and Kashmir ,POONCH,2014,Kharif,23827.0,50.55,48.88,25.3,27.52,70.58,5.57,102.52,27.83,20146.98,4.674
Rice,Jammu and Kashmir ,POONCH,2014,Kharif,3349.0,102.78,62.38,47.46,24.4,79.51,7.05,277.35,41.24,23927.98,3.644
Maize,Jammu and Kashmir ,PULWAMA,1997,Kharif,9620.0,92.64,38.06,33.15,26.9,68.6,6.89,151.77,31.56,20147.0,4.053
Rice,Jammu and Kashmir ,PULWAMA,1997,Kharif,26296.0,92.4,62.0,53.04,28.77,86.66,5.8,299.7,34.73,23010.85,2.445
Maize,Jammu and Kashmir ,PULWAMA,1999,Kharif,10724.0,69.47,71.0,28.23,24.58,82.03,7.15,117.61,33.44,20147.02,6.246
Rice,Jammu and Kashmir ,PULWAMA,1999,Kharif,24563.0,28.28,62.39,49.28,26.51,88.66,6.15,243.46,30.58,23357.53,5.209
Maize,Jammu and Kashmir ,PULWAMA,2000,Kharif,11581.0,78.85,52.28,27.81,23.52,74.25,5.68,100.09,21.32,20147.04,5.756
Rice,Jammu and Kashmir ,PULWAMA,2000,Kharif,23330.0,86.17,55.76,47.73,27.4,83.45,4.82,218.8,34.12,25377.38,4.715
Maize,Jammu and Kashmir ,PULWAMA,2001,Kharif,12564.0,69.71,60.52,33.54,24.95,69.0,6.95,80.36,25.75,20147.06,2.5
Rice,Jammu and Kashmir ,PULWAMA,2001,Kharif,22359.0,75.16,49.98,42.71,28.04,82.16,7.19,262.31,34.46,23100.47,2.404
Blackgram,Jammu and Kashmir ,PULWAMA,2001,Kharif,54.0,53.65,57.32,17.64,31.05,70.58,6.21,102.0,31.33,80302.47,0.966
Maize,Jammu and Kashmir ,PULWAMA,2002,Kharif,12559.0,85.1,34.07,35.94,17.38,70.01,6.05,112.73,20.55,20147.09,5.879
Rice,Jammu and Kashmir ,PULWAMA,2002,Kharif,22328.0,78.81,64.53,44.04,28.93,85.58,7.65,198.64,28.83,23349.35,3.972
Blackgram,Jammu and Kashmir ,PULWAMA,2002,Kharif,423.0,48.28,48.89,38.61,35.68,75.43,7.19,100.09,22.31,77897.61,0.996
Maize,Jammu and Kashmir ,PULWAMA,2003,Kharif,10073.0,36.65,49.13,25.93,31.28,73.05,5.14,126.37,26.47,20147.12,5.737
