crop,state_name,district_name,crop_year,season,area_ha,nitrogen,phosphorous,potassium,temperature_c,humidity,ph,rainfall_mm,moisture,yield_t_ha 
Papaya,Chhattisgarh,DURG,2002,Whole Year,23.0,39.59,41.58,60.89,40.0,89.55,6.59,209.63,36.91,36.261
Maize,Chhattisgarh,DURG,2003,Kharif,286.0,49.95,69.31,21.45,19.4,70.89,5.36,90.59,26.11,1.014
Rice,Chhattisgarh,DURG,2003,Kharif,442753.0,69.24,69.35,48.45,21.99,86.63,5.96,196.12,28.16,1.618
Blackgram,Chhattisgarh,DURG,2003,Kharif,2791.0,70.36,60.86,30.56,28.5,77.81,7.23,84.7,20.61,0.278
Blackgram,Chhattisgarh,DURG,2003,Rabi,1990.0,41.67,64.47,35.56,29.67,64.85,6.09,33.13,18.38,0.242
Banana,Chhattisgarh,DURG,2003,Whole Year,50.0,122.72,67.75,49.78,22.57,91.16,5.89,112.4,26.01,33.38
Papaya,Chhattisgarh,DURG,2003,Whole Year,98.0,79.48,69.2,64.0,39.18,91.13,6.8,242.27,27.25,45.357
Maize,Chhattisgarh,DURG,2004,Kharif,219.0,70.58,65.51,29.79,14.5,65.83,6.5,71.82,16.28,1.219
Rice,Chhattisgarh,DURG,2004,Kharif,449635.0,60.6,67.77,47.51,21.53,88.94,4.66,210.81,31.03,1.409
Blackgram,Chhattisgarh,DURG,2004,Kharif,2588.0,59.06,83.08,35.77,39.43,77.9,7.44,78.06,19.36,0.283
Blackgram,Chhattisgarh,DURG,2004,Rabi,2006.0,65.17,94.11,36.23,24.85,70.31,6.78,52.08,26.38,0.184
Banana,Chhattisgarh,DURG,2004,Whole Year,7.0,91.42,69.57,62.03,24.83,79.45,6.64,103.58,28.44,32.857
Maize,Chhattisgarh,DURG,2005,Kharif,276.0,83.04,71.73,37.84,26.07,61.18,4.98,119.65,29.13,0.902
Rice,Chhattisgarh,DURG,2005,Kharif,453535.0,90.26,57.74,48.39,23.64,91.14,7.59,183.19,30.33,1.645
Blackgram,Chhattisgarh,DURG,2005,Kharif,2637.0,31.7,43.74,24.63,25.35,75.58,7.24,75.65,23.05,0.273
Blackgram,Chhattisgarh,DURG,2005,Rabi,1500.0,71.27,84.41,28.33,25.73,70.04,7.41,36.1,21.18,0.229
Banana,Chhattisgarh,DURG,2005,Whole Year,170.0,112.58,89.6,57.58,31.69,81.5,5.99,98.75,30.17,35.759
Maize,Chhattisgarh,DURG,2006,Kharif,329.0,86.37,59.46,41.52,25.21,76.86,5.94,109.25,24.46,1.009
Rice,Chhattisgarh,DURG,2006,Kharif,460930.0,53.1,65.93,56.15,20.84,90.55,7.33,253.41,35.09,1.462
Blackgram,Chhattisgarh,DURG,2006,Kharif,2402.0,27.45,50.29,26.24,24.83,74.83,5.55,82.8,23.89,0.289
Blackgram,Chhattisgarh,DURG,2006,Rabi,1683.0,69.92,49.28,27.96,21.35,65.73,7.45,33.93,16.21,0.246
Banana,Chhattisgarh,DURG,2006,Whole Year,35.0,94.41,73.15,66.37,26.56,87.03,5.72,70.16,25.49,32.429
Maize,Chhattisgarh,DURG,2007,Kharif,310.0,107.05,35.21,31.83,23.26,84.71,7.26,110.28,33.82,1.19
Rice,Chhattisgarh,DURG,2007,Kharif,465325.0,69.08,58.25,48.72,32.4,89.77,6.26,151.44,27.66,1.571
Blackgram,Chhattisgarh,DURG,2007,Kharif,2316.0,90.95,77.63,32.31,29.05,77.2,6.54,90.3,27.47,0.283
Blackgram,Chhattisgarh,DURG,2007,Rabi,1716.0,55.51,78.18,29.42,20.56,62.57,5.99,40.52,25.38,0.262
Banana,Chhattisgarh,DURG,2007,Whole Year,115.0,91.57,68.9,57.61,27.0,87.79,5.78,106.36,28.19,32.417
Maize,Chhattisgarh,DURG,2008,Kharif,257.0,89.51,69.6,36.44,21.82,82.67,5.61,71.81,25.02,1.054
Rice,Chhattisgarh,DURG,2008,Kharif,464617.0,92.73,72.46,40.85,18.07,87.09,6.0,300.0,33.57,0.906
Blackgram,Chhattisgarh,DURG,2008,Kharif,2188.0,50.63,86.52,28.67,33.7,77.79,6.18,89.54,29.33,0.253
Blackgram,Chhattisgarh,DURG,2008,Rabi,1242.0,41.52,70.33,27.73,26.12,65.42,6.24,42.81,24.55,0.246
Banana,Chhattisgarh,DURG,2008,Whole Year,8.0,92.46,82.98,55.02,23.52,89.5,5.38,92.11,24.81,33.875
Maize,Chhattisgarh,DURG,2009,Kharif,300.0,55.65,52.77,36.32,17.48,78.16,6.67,98.69,29.64,0.817
Rice,Chhattisgarh,DURG,2009,Kharif,451263.0,101.78,47.61,46.49,21.56,88.43,4.82,131.06,23.07,0.788
Blackgram,Chhattisgarh,DURG,2009,Kharif,2000.0,59.24,89.16,34.07,24.37,82.83,6.06,85.78,24.65,0.269
Blackgram,Chhattisgarh,DURG,2009,Rabi,1251.0,20.02,58.91,34.92,34.59,74.11,7.0,36.48,18.55,0.241
Banana,Chhattisgarh,DURG,2009,Whole Year,126.0,89.72,83.21,58.87,25.47,85.53,5.4,101.14,25.06,80.365
Maize,Chhattisgarh,DURG,2010,Kharif,330.0,34.78,68.61,37.13,24.62,77.01,5.46,125.66,24.21,1.47
Rice,Chhattisgarh,DURG,2010,Kharif,462087.0,81.73,47.35,44.46,25.29,87.25,4.5,134.2,28.72,1.828
Blackgram,Chhattisgarh,DURG,2010,Kharif,1825.0,26.93,71.47,35.96,32.56,72.26,6.69,86.29,21.78,0.314
Blackgram,Chhattisgarh,DURG,2010,Rabi,1466.0,34.49,59.83,28.68,23.12,81.0,6.89,35.2,28.2,0.238
Banana,Chhattisgarh,DURG,2010,Whole Year,151.0,92.56,85.04,44.64,21.68,85.56,5.9,77.44,30.81,28.603
Maize,Chhattisgarh,DURG,2011,Kharif,148.0,79.54,71.61,21.03,27.56,86.69,6.46,85.37,27.41,1.189
Rice,Chhattisgarh,DURG,2011,Kharif,129502.0,66.82,52.18,52.08,17.96,89.08,4.94,192.79,34.84,1.922
Blackgram,Chhattisgarh,DURG,2011,Kharif,190.0,13.77,43.82,31.12,24.03,74.7,6.87,77.22,30.05,0.305
Blackgram,Chhattisgarh,DURG,2011,Rabi,153.0,27.44,66.92,22.26,16.28,70.18,5.96,40.42,21.01,0.248
Banana,Chhattisgarh,DURG,2011,Whole Year,89.0,49.14,84.45,57.53,21.77,86.2,5.02,76.01,31.9,30.517
Maize,Chhattisgarh,DURG,2012,Kharif,120.0,79.22,53.96,36.77,27.1,73.0,5.56,107.57,29.59,1.55
Rice,Chhattisgarh,DURG,2012,Kharif,129784.0,72.86,60.61,49.41,21.78,91.3,5.01,217.25,26.9,2.282
Blackgram,Chhattisgarh,DURG,2012,Kharif,134.0,14.79,87.6,31.41,25.92,79.57,6.73,78.79,24.41,0.306
Blackgram,Chhattisgarh,DURG,2012,Rabi,146.0,26.3,75.86,27.52,27.65,68.52,7.01,25.15,20.99,0.253
Banana,Chhattisgarh,DURG,2012,Whole Year,60.0,99.44,78.98,54.15,26.27,81.74,5.22,103.38,28.05,8.783
Maize,Chhattisgarh,DURG,2013,Kharif,184.0,94.07,62.06,26.67,17.28,70.26,5.55,38.14,17.39,1.098
Rice,Chhattisgarh,DURG,2013,Kharif,130671.0,68.82,54.34,45.35,20.86,90.78,6.08,155.49,30.18,1.941
Blackgram,Chhattisgarh,DURG,2013,Kharif,126.0,43.23,77.79,32.36,23.58,68.71,5.86,86.93,17.36,0.325
Blackgram,Chhattisgarh,DURG,2013,Rabi,164.0,17.68,75.07,33.85,29.13,69.28,6.93,50.99,26.72,0.22
Banana,Chhattisgarh,DURG,2013,Whole Year,93.0,140.0,69.08,53.55,25.99,84.74,5.66,99.97,20.55,32.419
Maize,Chhattisgarh,DURG,2014,Kharif,485.0,99.63,69.9,36.8,28.62,77.66,5.36,118.86,27.38,1.219
Rice,Chhattisgarh,DURG,2014,Kharif,130467.0,63.3,55.11,54.03,22.04,89.03,5.64,215.81,38.0,1.855
Blackgram,Chhattisgarh,DURG,2014,Kharif,63.0,49.15,80.55,33.01,37.41,74.37,6.68,75.88,28.53,0.333
Blackgram,Chhattisgarh,DURG,2014,Rabi,200.0,69.25,54.85,38.19,26.25,76.22,7.15,46.69,21.46,0.245
Banana,Chhattisgarh,DURG,2014,Whole Year,95.0,90.35,57.16,58.68,21.47,89.94,5.53,94.96,31.37,33.368
Maize,Chhattisgarh,GARIYABAND,2011,Kharif,709.0,60.95,66.13,37.16,23.38,76.4,6.75,131.68,34.33,1.087
Rice,Chhattisgarh,GARIYABAND,2011,Kharif,134895.0,107.83,74.27,55.66,18.04,88.82,6.78,189.45,38.64,1.144
Blackgram,Chhattisgarh,GARIYABAND,2011,Kharif,2217.0,54.66,55.25,38.65,24.62,72.74,6.35,109.04,17.56,0.313
Blackgram,Chhattisgarh,GARIYABAND,2011,Rabi,377.0,57.95,42.74,40.59,22.17,66.59,6.95,62.0,18.72,0.252
Banana,Chhattisgarh,GARIYABAND,2011,Whole Year,13.0,94.79,76.9,55.82,26.11,78.74,5.7,110.29,25.4,40.154
Maize,Chhattisgarh,GARIYABAND,2012,Kharif,8314.0,62.0,56.05,31.85,20.96,83.13,6.93,112.64,26.58,1.49
Rice,Chhattisgarh,GARIYABAND,2012,Kharif,131879.0,45.12,48.0,52.31,30.32,85.86,5.01,256.73,27.43,1.565
Blackgram,Chhattisgarh,GARIYABAND,2012,Kharif,1707.0,53.13,61.8,30.1,23.38,80.31,7.35,107.71,27.17,0.426
Blackgram,Chhattisgarh,GARIYABAND,2012,Rabi,204.0,48.04,67.64,50.27,32.63,69.58,7.16,55.33,18.74,0.25
Banana,Chhattisgarh,GARIYABAND,2012,Whole Year,17.0,89.02,62.7,53.09,22.34,82.44,6.71,132.59,24.27,12.882
Maize,Chhattisgarh,GARIYABAND,2013,Kharif,10519.0,67.51,62.31,30.99,28.1,73.64,6.01,168.77,31.75,1.515
Rice,Chhattisgarh,GARIYABAND,2013,Kharif,134290.0,42.21,35.49,58.81,23.38,85.57,6.49,275.3,35.62,1.48
Blackgram,Chhattisgarh,GARIYABAND,2013,Kharif,1019.0,54.52,66.21,37.53,29.48,75.55,6.26,104.57,26.41,0.326
Blackgram,Chhattisgarh,GARIYABAND,2013,Rabi,206.0,62.44,74.68,43.23,25.52,64.87,8.05,62.38,20.72,0.228
Banana,Chhattisgarh,GARIYABAND,2013,Whole Year,20.0,44.96,49.14,50.84,21.43,78.19,6.65,121.19,31.03,43.75
Maize,Chhattisgarh,GARIYABAND,2014,Kharif,9023.0,77.69,49.78,30.63,20.39,67.23,7.11,125.13,23.16,1.697
Rice,Chhattisgarh,GARIYABAND,2014,Kharif,139889.0,69.57,36.12,46.54,28.02,89.82,7.5,179.07,26.89,1.696
Blackgram,Chhattisgarh,GARIYABAND,2014,Kharif,1839.0,25.78,72.46,26.92,32.33,74.88,7.33,96.31,20.98,0.313
Blackgram,Chhattisgarh,GARIYABAND,2014,Rabi,186.0,41.06,45.3,36.9,30.23,70.37,7.07,67.76,17.87,0.231
Banana,Chhattisgarh,GARIYABAND,2014,Whole Year,8.0,92.2,65.04,58.2,27.51,77.08,6.18,134.74,20.72,43.75
Maize,Chhattisgarh,JANJGIR-CHAMPA,2000,Kharif,383.0,115.28,43.76,28.76,32.09,56.93,6.81,91.93,19.33,1.269
Rice,Chhattisgarh,JANJGIR-CHAMPA,2000,Kharif,254692.0,94.36,46.36,36.21,27.81,82.41,6.6,244.61,36.51,0.659
Blackgram,Chhattisgarh,JANJGIR-CHAMPA,2000,Kharif,1753.0,44.05,48.57,27.43,30.75,66.35,7.82,81.5,15.61,0.239
Blackgram,Chhattisgarh,JANJGIR-CHAMPA,2000,Rabi,105.0,45.3,68.39,15.99,30.17,55.52,6.93,22.05,23.88,0.21
Banana,Chhattisgarh,JANJGIR-CHAMPA,2000,Whole Year,2.0,80.3,65.6,44.98,29.74,79.39,6.27,57.5,28.79,36.0
Maize,Chhattisgarh,JANJGIR-CHAMPA,2001,Kharif,379.0,111.42,44.5,30.33,22.63,86.88,6.42,82.12,32.47,0.755
Rice,Chhattisgarh,JANJGIR-CHAMPA,2001,Kharif,254981.0,95.78,41.33,31.2,22.82,81.17,5.77,231.7,30.1,1.517
Blackgram,Chhattisgarh,JANJGIR-CHAMPA,2001,Kharif,1654.0,59.35,56.86,26.79,25.45,70.71,6.47,85.4,22.34,0.258
Blackgram,Chhattisgarh,JANJGIR-CHAMPA,2001,Rabi,113.0,56.93,58.96,29.04,33.87,67.32,6.33,30.62,17.64,0.23
Banana,Chhattisgarh,JANJGIR-CHAMPA,2001,Whole Year,1.0,76.08,65.15,40.17,29.95,82.95,6.13,100.95,31.78,34.0
Maize,Chhattisgarh,JANJGIR-CHAMPA,2002,Kharif,379.0,50.69,30.69,32.79,25.89,62.26,7.82,92.24,17.83,1.633
Rice,Chhattisgarh,JANJGIR-CHAMPA,2002,Kharif,252737.0,48.04,35.76,43.71,21.04,86.4,4.5,213.72,30.04,1.183
Blackgram,Chhattisgarh,JANJGIR-CHAMPA,2002,Kharif,2189.0,49.53,69.31,24.73,27.0,72.46,7.26,67.42,16.82,0.231
Blackgram,Chhattisgarh,JANJGIR-CHAMPA,2002,Rabi,127.0,44.14,44.31,31.36,22.71,69.54,6.84,28.81,23.86,0.22
Banana,Chhattisgarh,JANJGIR-CHAMPA,2002,Whole Year,9.0,72.07,78.37,42.39,25.47,85.55,6.32,80.39,26.89,34.0
Maize,Chhattisgarh,JANJGIR-CHAMPA,2003,Kharif,413.0,92.39,45.44,23.67,26.27,71.15,5.76,80.22,30.38,1.031
Rice,Chhattisgarh,JANJGIR-CHAMPA,2003,Kharif,253178.0,99.62,41.98,47.62,23.72,86.62,6.19,172.5,33.86,1.351
Blackgram,Chhattisgarh,JANJGIR-CHAMPA,2003,Kharif,2125.0,47.94,59.87,33.21,32.92,68.67,7.37,81.54,27.38,0.258
Blackgram,Chhattisgarh,JANJGIR-CHAMPA,2003,Rabi,143.0,44.39,76.71,33.95,28.5,61.04,6.86,38.8,22.04,0.238
Banana,Chhattisgarh,JANJGIR-CHAMPA,2003,Whole Year,4.0,49.32,76.16,47.86,23.94,76.75,6.62,81.33,18.92,34.0
Maize,Chhattisgarh,JANJGIR-CHAMPA,2004,Kharif,380.0,87.32,58.4,20.03,23.9,74.3,6.35,71.13,21.4,1.316
Rice,Chhattisgarh,JANJGIR-CHAMPA,2004,Kharif,253093.0,56.1,23.06,42.2,22.23,81.94,8.32,135.28,21.19,1.243
Blackgram,Chhattisgarh,JANJGIR-CHAMPA,2004,Kharif,1725.0,33.93,61.17,24.7,31.4,73.47,7.66,81.8,25.63,0.239
Blackgram,Chhattisgarh,JANJGIR-CHAMPA,2004,Rabi,127.0,42.18,47.84,22.41,22.26,60.87,7.43,31.23,17.02,0.236
Banana,Chhattisgarh,JANJGIR-CHAMPA,2004,Whole Year,7.0,116.64,71.64,47.29,30.91,79.79,5.98,65.64,23.95,34.0
Maize,Chhattisgarh,JANJGIR-CHAMPA,2005,Kharif,419.0,81.94,52.77,22.56,20.85,66.89,6.9,102.19,37.97,1.2
Rice,Chhattisgarh,JANJGIR-CHAMPA,2005,Kharif,253737.0,94.23,44.05,45.16,27.67,88.01,7.51,300.0,30.54,1.785
Blackgram,Chhattisgarh,JANJGIR-CHAMPA,2005,Kharif,1788.0,32.96,29.35,30.5,25.43,68.59,7.69,79.43,19.55,0.239
Blackgram,Chhattisgarh,JANJGIR-CHAMPA,2005,Rabi,102.0,42.6,72.23,23.83,28.2,62.34,6.87,33.09,17.74,0.284
Banana,Chhattisgarh,JANJGIR-CHAMPA,2005,Whole Year,10.0,97.52,79.46,44.16,26.45,75.5,6.07,88.87,24.79,34.1
Maize,Chhattisgarh,JANJGIR-CHAMPA,2006,Kharif,431.0,59.32,36.36,28.0,25.82,91.61,6.76,91.39,27.93,1.316
Rice,Chhattisgarh,JANJGIR-CHAMPA,2006,Kharif,278916.0,56.0,52.96,44.66,26.08,81.29,5.21,184.36,26.64,1.896
Blackgram,Chhattisgarh,JANJGIR-CHAMPA,2006,Kharif,1778.0,38.26,57.52,25.9,31.31,72.95,7.49,86.93,23.45,0.174
Blackgram,Chhattisgarh,JANJGIR-CHAMPA,2006,Rabi,103.0,24.05,82.57,21.87,30.03,64.77,7.82,20.2,23.35,0.233
Banana,Chhattisgarh,JANJGIR-CHAMPA,2006,Whole Year,1.0,104.37,45.13,57.61,26.67,78.39,5.91,86.44,30.02,37.0
Maize,Chhattisgarh,JANJGIR-CHAMPA,2007,Kharif,444.0,59.14,23.18,19.87,22.93,67.28,6.23,93.73,21.6,1.448
Rice,Chhattisgarh,JANJGIR-CHAMPA,2007,Kharif,254239.0,84.86,51.86,48.22,24.42,84.16,6.54,217.71,34.46,2.122
Blackgram,Chhattisgarh,JANJGIR-CHAMPA,2007,Kharif,1645.0,62.01,53.74,23.21,32.14,67.37,7.17,73.19,11.37,0.258
Blackgram,Chhattisgarh,JANJGIR-CHAMPA,2007,Rabi,105.0,71.45,49.73,24.89,24.19,61.11,6.83,30.13,19.96,0.257
Banana,Chhattisgarh,JANJGIR-CHAMPA,2007,Whole Year,10.0,87.03,67.56,52.79,29.06,70.37,6.9,94.29,25.69,34.1
Maize,Chhattisgarh,JANJGIR-CHAMPA,2008,Kharif,433.0,84.06,56.7,26.61,32.58,83.23,6.19,111.14,31.18,1.326
Rice,Chhattisgarh,JANJGIR-CHAMPA,2008,Kharif,288940.0,69.91,34.29,37.58,26.87,80.08,8.01,180.08,34.33,1.677
Blackgram,Chhattisgarh,JANJGIR-CHAMPA,2008,Kharif,1623.0,46.0,50.76,23.95,21.42,68.72,7.71,77.67,27.04,0.238
Blackgram,Chhattisgarh,JANJGIR-CHAMPA,2008,Rabi,109.0,34.78,67.19,25.41,25.3,52.22,7.13,32.52,10.16,0.239
Maize,Chhattisgarh,JANJGIR-CHAMPA,2009,Kharif,541.0,71.32,52.62,21.45,26.64,69.75,7.37,101.59,15.4,1.619
Rice,Chhattisgarh,JANJGIR-CHAMPA,2009,Kharif,254022.0,103.88,64.28,33.3,24.62,80.8,8.5,252.32,31.92,2.196
Blackgram,Chhattisgarh,JANJGIR-CHAMPA,2009,Kharif,1484.0,59.23,52.84,21.57,32.14,72.01,6.8,80.83,26.3,0.247
Blackgram,Chhattisgarh,JANJGIR-CHAMPA,2009,Rabi,109.0,82.86,52.73,26.06,28.05,60.51,6.92,42.69,15.31,0.248
Maize,Chhattisgarh,JANJGIR-CHAMPA,2010,Kharif,396.0,85.22,52.34,25.0,24.51,70.83,6.66,80.38,17.38,1.735
Rice,Chhattisgarh,JANJGIR-CHAMPA,2010,Kharif,254778.0,80.83,53.44,42.92,25.41,82.43,4.76,191.37,28.09,2.588
Blackgram,Chhattisgarh,JANJGIR-CHAMPA,2010,Kharif,1458.0,49.86,65.88,22.87,28.04,72.4,8.39,71.69,24.32,0.259
Blackgram,Chhattisgarh,JANJGIR-CHAMPA,2010,Rabi,131.0,62.15,72.34,22.32,31.11,66.05,7.38,40.07,18.64,0.229
Banana,Chhattisgarh,JANJGIR-CHAMPA,2010,Whole Year,13.0,83.83,61.96,45.1,28.71,80.56,6.56,85.29,27.42,39.769
Maize,Chhattisgarh,JANJGIR-CHAMPA,2011,Kharif,338.0,45.61,50.1,22.94,27.33,67.73,7.18,82.81,25.48,1.373
Rice,Chhattisgarh,JANJGIR-CHAMPA,2011,Kharif,279492.0,75.56,43.03,40.5,20.36,81.69,6.05,285.14,34.88,2.629
Blackgram,Chhattisgarh,JANJGIR-CHAMPA,2011,Kharif,1474.0,35.58,64.19,28.45,35.26,71.33,7.67,88.62,22.69,0.254
Blackgram,Chhattisgarh,JANJGIR-CHAMPA,2011,Rabi,92.0,79.82,61.9,25.81,24.21,62.54,7.51,39.38,13.69,0.239
Banana,Chhattisgarh,JANJGIR-CHAMPA,2011,Whole Year,21.0,56.82,66.03,55.63,27.85,74.5,6.54,111.25,27.5,34.0
Maize,Chhattisgarh,JANJGIR-CHAMPA,2012,Kharif,351.0,70.48,30.43,29.74,23.73,60.99,6.75,52.48,20.32,1.838
Rice,Chhattisgarh,JANJGIR-CHAMPA,2012,Kharif,281528.0,130.67,56.22,41.41,27.07,83.38,7.54,208.94,32.53,3.012
Blackgram,Chhattisgarh,JANJGIR-CHAMPA,2012,Kharif,1443.0,33.84,63.59,24.71,31.82,75.12,7.07,78.01,24.43,0.239
Blackgram,Chhattisgarh,JANJGIR-CHAMPA,2012,Rabi,85.0,29.8,66.5,20.5,30.09,74.63,7.13,31.26,19.58,0.259
Banana,Chhattisgarh,JANJGIR-CHAMPA,2012,Whole Year,35.0,77.47,46.8,45.51,24.68,76.18,6.95,75.73,22.55,12.657
Maize,Chhattisgarh,JANJGIR-CHAMPA,2013,Kharif,364.0,96.34,46.68,18.83,26.27,67.98,5.77,59.42,20.84,2.25
Rice,Chhattisgarh,JANJGIR-CHAMPA,2013,Kharif,257816.0,88.22,39.75,47.02,24.0,85.34,6.97,211.98,20.8,2.88
Blackgram,Chhattisgarh,JANJGIR-CHAMPA,2013,Kharif,1399.0,36.66,42.17,27.1,25.81,69.71,7.2,66.37,17.14,0.239
Blackgram,Chhattisgarh,JANJGIR-CHAMPA,2013,Rabi,86.0,69.21,68.68,32.76,30.62,66.7,8.12,30.04,26.57,0.279
Banana,Chhattisgarh,JANJGIR-CHAMPA,2013,Whole Year,18.0,115.09,87.04,42.6,28.44,78.65,6.44,88.08,29.21,34.056
Maize,Chhattisgarh,JANJGIR-CHAMPA,2014,Kharif,387.0,72.54,30.23,24.39,28.07,73.13,6.56,75.26,30.58,1.819
Rice,Chhattisgarh,JANJGIR-CHAMPA,2014,Kharif,253667.0,60.05,25.48,44.77,23.11,81.25,4.58,240.41,37.52,3.163
Blackgram,Chhattisgarh,JANJGIR-CHAMPA,2014,Kharif,1403.0,38.4,35.32,31.49,26.49,71.69,6.67,82.67,24.95,0.238
Blackgram,Chhattisgarh,JANJGIR-CHAMPA,2014,Rabi,86.0,55.53,52.75,29.46,25.51,64.3,6.18,27.36,21.57,0.244
Banana,Chhattisgarh,JANJGIR-CHAMPA,2014,Whole Year,10.0,52.61,75.91,48.51,29.86,79.01,6.86,89.81,29.06,35.2
Maize,Chhattisgarh,JASHPUR,2000,Kharif,6646.0,73.57,36.77,34.03,25.73,76.98,6.89,125.96,27.3,1.511
Rice,Chhattisgarh,JASHPUR,2000,Kharif,179057.0,80.24,59.2,52.49,22.89,81.7,4.5,181.12,27.54,0.675
Blackgram,Chhattisgarh,JASHPUR,2000,Kharif,16469.0,10.0,76.01,32.52,28.77,76.69,6.28,89.02,18.96,0.208
Banana,Chhattisgarh,JASHPUR,2000,Whole Year,1.0,78.91,87.13,61.02,26.82,83.87,6.32,91.6,19.45,32.0
Maize,Chhattisgarh,JASHPUR,2001,Kharif,6555.0,101.95,49.04,35.55,22.52,80.15,7.64,82.64,21.79,0.912
Rice,Chhattisgarh,JASHPUR,2001,Kharif,179252.0,56.87,60.16,50.7,23.0,84.58,6.51,133.87,27.64,1.235
Blackgram,Chhattisgarh,JASHPUR,2001,Kharif,16482.0,10.0,43.13,41.08,21.09,75.23,5.4,101.61,25.71,0.231
Banana,Chhattisgarh,JASHPUR,2001,Whole Year,34.0,109.4,87.45,58.5,22.91,68.87,5.79,90.76,30.45,31.676
Maize,Chhattisgarh,JASHPUR,2002,Kharif,6442.0,62.29,42.47,32.2,18.91,75.45,6.86,82.31,15.46,1.389
Rice,Chhattisgarh,JASHPUR,2002,Kharif,180322.0,80.88,33.26,56.37,21.43,87.13,6.05,246.71,26.31,0.644
Blackgram,Chhattisgarh,JASHPUR,2002,Kharif,17101.0,37.3,57.36,38.89,26.41,65.4,6.83,87.18,21.92,0.231
Banana,Chhattisgarh,JASHPUR,2002,Whole Year,3.0,103.1,63.45,55.04,26.89,73.3,5.88,103.85,24.82,31.0
Papaya,Chhattisgarh,JASHPUR,2002,Whole Year,1.0,15.46,39.77,56.32,40.0,85.93,6.21,83.39,27.71,35.0
Maize,Chhattisgarh,JASHPUR,2003,Kharif,6475.0,69.28,44.64,28.65,27.03,78.18,5.91,123.66,20.47,1.475
Rice,Chhattisgarh,JASHPUR,2003,Kharif,180373.0,41.24,55.56,50.24,24.44,85.74,7.63,133.48,33.45,1.248
Blackgram,Chhattisgarh,JASHPUR,2003,Kharif,16646.0,32.35,50.14,28.55,24.73,66.89,6.86,95.71,31.64,0.227
Banana,Chhattisgarh,JASHPUR,2003,Whole Year,33.0,102.08,71.02,70.87,23.73,84.45,5.41,75.81,35.54,32.212
Papaya,Chhattisgarh,JASHPUR,2003,Whole Year,2.0,27.53,55.04,64.94,29.15,85.23,6.61,113.06,27.3,36.0
Maize,Chhattisgarh,JASHPUR,2004,Kharif,6338.0,74.32,28.2,35.71,17.32,66.04,6.18,140.92,24.63,1.685
Rice,Chhattisgarh,JASHPUR,2004,Kharif,180028.0,34.47,45.71,58.56,26.31,83.09,5.85,218.0,34.53,0.93
Blackgram,Chhattisgarh,JASHPUR,2004,Kharif,16127.0,48.92,61.89,36.78,24.18,73.95,6.14,84.69,24.28,0.189
Banana,Chhattisgarh,JASHPUR,2004,Whole Year,17.0,68.38,60.52,54.78,25.72,84.85,6.13,72.33,24.35,31.588
Maize,Chhattisgarh,JASHPUR,2005,Kharif,6100.0,76.91,24.86,35.11,13.86,72.21,6.03,107.35,34.36,1.248
Rice,Chhattisgarh,JASHPUR,2005,Kharif,180718.0,81.58,45.34,44.91,26.76,82.49,5.52,152.48,26.13,0.881
Blackgram,Chhattisgarh,JASHPUR,2005,Kharif,15634.0,19.49,59.92,31.62,30.83,75.33,7.84,77.51,18.5,0.173
Banana,Chhattisgarh,JASHPUR,2005,Whole Year,17.0,61.75,65.47,49.72,24.83,78.28,6.2,90.17,20.13,31.176
Maize,Chhattisgarh,JASHPUR,2006,Kharif,6331.0,58.15,52.73,35.8,17.04,62.22,6.35,61.35,17.18,1.159
Rice,Chhattisgarh,JASHPUR,2006,Kharif,180309.0,66.16,53.79,55.71,20.57,86.04,4.5,217.14,33.43,1.046
Blackgram,Chhattisgarh,JASHPUR,2006,Kharif,15974.0,16.0,69.62,37.38,30.34,68.59,6.53,90.68,26.4,0.224
Banana,Chhattisgarh,JASHPUR,2006,Whole Year,13.0,97.87,79.27,61.09,28.74,77.84,5.3,118.98,25.48,31.615
Maize,Chhattisgarh,JASHPUR,2007,Kharif,6057.0,47.55,69.01,30.94,22.84,70.38,6.0,89.12,20.59,1.642
Rice,Chhattisgarh,JASHPUR,2007,Kharif,181389.0,59.15,49.3,50.33,19.82,81.71,5.22,300.0,37.43,1.215
Blackgram,Chhattisgarh,JASHPUR,2007,Kharif,15465.0,16.45,92.78,33.51,20.66,76.92,7.09,96.29,26.09,0.231
Banana,Chhattisgarh,JASHPUR,2007,Whole Year,22.0,63.98,67.84,50.59,24.16,76.65,6.07,46.09,18.05,31.136
Maize,Chhattisgarh,JASHPUR,2008,Kharif,6040.0,50.22,41.01,38.03,26.34,70.48,5.49,132.61,29.91,1.428
Rice,Chhattisgarh,JASHPUR,2008,Kharif,180921.0,49.38,47.12,50.79,25.01,82.14,7.12,264.42,36.6,1.128
Blackgram,Chhattisgarh,JASHPUR,2008,Kharif,14917.0,21.68,62.7,28.18,30.68,72.8,7.23,89.3,16.12,0.231
Banana,Chhattisgarh,JASHPUR,2008,Whole Year,21.0,66.06,74.74,54.41,25.86,81.6,6.55,119.08,19.86,29.571
Maize,Chhattisgarh,JASHPUR,2009,Kharif,5812.0,41.65,48.45,32.84,23.74,77.02,5.29,96.5,32.83,1.721
Rice,Chhattisgarh,JASHPUR,2009,Kharif,180614.0,42.34,36.77,49.41,22.58,80.15,6.31,300.0,36.92,1.069
